Ocean/Country,date,Air-craft type,registration name/mark,operator,fatilites,location,category
Atlantic Ocean,05-Jun-1943,Short Sunderland II,W6052,RAF,11,"near St. Kilda, S...",A1
Unknown country,12-Mar-1945,Curtiss C-46A,42-101074,USAAF,,,A1
Unknown country,30-Jul-1945,Curtiss C-46D,44-77745,USAAF,,,A1
Unknown country,??-???-1952,Douglas C-47A (DC-3),187,Argentine Navy,,unknown,A1
Unknown country,20-Nov-1943,Douglas C-47A (DC-3),42-23502,USAAF,,unknown,A1
Unknown country,05-Feb-1965,Douglas TC-47D (DC-3),43-49903,USAF,,Far East,A1
Unknown country,09-Mar-1960,CASA 352 (Ju-52),T.2B-150,Spanish AF,,,U1
Unknown country,29-Oct-1943,Curtiss C-46A,41-12393,USAAF,,,U1
Pacific Ocean,14-Jul-1942,Consolidated PBY-5 Catalina,4463,US Navy,9,near Alaska,A1
Unknown country,??-???-1985,Antonov An-12B,CCCP-12989,"Aeroflot, Privolzhsk",,unknown,U1
Unknown country,24-Mar-1945,Curtiss C-46D,44-77516,USAAF,,,A1
Atlantic Ocean,02-Feb-1950,Douglas C-47A (DC-3),PH-TEU,KLM,7,near Dutch coast ...,A1
Pacific Ocean,08-Nov-1957,Boeing 377 Stratocruiser,N90944,Pan Am,44,"near Honolulu, HI",A1
Unknown country,13-Jun-1946,Curtiss C-46A,41-24684,USAAF,,,A1
Unknown country,29-Apr-1979,IAI Arava 201,864,Guatemala AF,,,A1
Atlantic Ocean,07-Oct-1971,BN-2A Islander,N857JA,International Sky Cab Airlines,0,near South Caicos,A1
Unknown country,27-Feb-1957,Vickers Valetta C.1,VL279,RAF,,,A1
Atlantic Ocean,11-Jun-1961,Douglas DC-7C,PH-DSN,KLM,0,near Atlantic Ocean,A2
Antarctica,31-Aug-1957,UC-1 Otter (DHC-3),142426,US Navy,0,Little Ameri...,O1
Pacific Ocean,12-Apr-1997,DHC-6 Twin Otter 300,N242CA,Corporate Air,0,"near Hilo, HI, USA",A1
Unknown country,07-Jun-1945,Douglas C-47A (DC-3),43-15328,USAAF,,Unknown,A1
Unknown country,15-Mar-1981,Beech 200 Super King Air,YV-257CP,Inversiones Rizo C. A.,,unknown loca...,U1
Unknown country,05-Jan-1944,Curtiss C-46A,41-24748,USAAF,,,U1
Atlantic Ocean,05-May-1948,Douglas C-47A (DC-3),NC17645,Superior Oil Corp.,3,,A1
Unknown country,01-Dec-1944,Douglas C-47A (DC-3),42-100841,USAAF,,Unknown,A1
Unknown country,??-AUG-1966,Lockheed P-2H Neptune,141246,US Navy,0,unknown,A1
Atlantic Ocean,17-Nov-1943,Consolidated PBY-5 Catalina,4473,US Navy,8,Gulf of Mexico,A1
Atlantic Ocean,21-Mar-1992,Concorde 102,G-BOAB,British Airways,0,North Atlantic,A2
Unknown country,08-Dec-1945,Curtiss C-46D,44-77499,USAAF,,,A1
Pacific Ocean,25-Jul-2008,Boeing 747-438,VH-OJK,Qantas,0,"near Manila, Phil...",A2
Unknown country,24-Mar-1945,Curtiss C-46D,44-77583,USAAF,,,A1
Atlantic Ocean,17-Jan-1944,Douglas Dakota III (DC-3),FZ632,RAF,,near Azores Islan...,A1
Unknown country,19-Dec-1972,Shorts SC.7 Skyvan 3M-400,T-703,Indonesian AF,,,U1
Unknown country,06-Apr-1945,Douglas C-47B (DC-3),43-16358,USAAF,,unknown,U1
Atlantic Ocean,28-Aug-1963,Boeing KC-135A,61-0322,USAF,5,near Bermuda,A1
Mediterranean Sea,07-Jun-1959,Douglas SC-47A,43-15689,USAF,0,near Libya,A1
Unknown country,23-Aug-1971,Grumman C-2A Greyhound,152788,US Navy,,,U1
Unknown country,??-FEB-2000,CASA C-212 Aviocar 200,N461CA,Sandair,0,,U1
Unknown country,07-Oct-1974,Vickers Viscount,,FEAT,0,,H2
Antarctica,11-Jan-1965,Douglas LC-47J,50778,US Navy,0,Shackleton G...,A1
Atlantic Ocean,19-Jan-1945,Douglas Dakota IV (DC-3),KJ931,RAF,3,North Sea,A1
Unknown country,??-???-1948,Douglas C-54A (DC-4),NC54083,Trans Caribbean Airways,,,U1
Unknown country,01-Jun-1965,Lockheed P2V-7 Neptune,4657,Japanese Navy,,,U1
Unknown country,29-Nov-1946,Douglas Dakota IV (DC-3),KN286,RAF,,unknown,A1
Atlantic Ocean,21-Aug-1944,Douglas C-47A (DC-3),43-15162,USAAF,8,between Gibr...,A1
Unknown country,09-Jun-1944,PBV-1A Canso A (PBY-5A),11019,RCAF,,,A1
Unknown country,13-Jul-1965,Douglas VC-47D (DC-3),43-49026,USAF,,,A1
Unknown country,??-FEB-1957,Grumman UF-1 Albatross,131903,US Navy,,,A1
Unknown country,14-Jan-1967,Consolidated PBY-5A Catalina,B-1501,China Airlines,,,A1
Atlantic Ocean,23-Nov-2018,BAe-125-700A,N422X,private,,near Curaçao [Car...,A1
Unknown country,??-???-1990,CASA C-212 Aviocar 200,MP-112,Mexican Navy,,,U1
Pacific Ocean,04-Dec-1964,Lockheed P-3A Orion,150508,US Navy,13,near Luzon Island...,A1
Unknown country,19-Sep-1945,Curtiss C-46D,44-78503,USAAF,,,A1
Unknown country,17-Dec-1944,Junkers Ju-52/3mg4e,4V+GP,German AF,3,,A1
Unknown country,09-Jan-1944,Douglas C-47A (DC-3),42-23873,USAAF,,unknown,A1
Atlantic Ocean,06-Feb-1945,Douglas Dakota IV (DC-3),KN271,RAF,4,near Greenland,A1
Pacific Ocean,08-Sep-1964,Lockheed SP-2E Neptune,131513,US Navy,5,near Vietnam coas...,A1
