Ocean/Country,date,Air-craft type,registration name/mark,operator,fatilites,location,category
Unknown country,04-Aug-1945,Douglas C-47A (DC-3),42-23958,USAAF,,unknown,A1
Pacific Ocean,15-Jan-1945,Curtiss C-46D,44-77452,USAAF,,,A1
Unknown country,27-Jul-1971,CASA 352 (Ju-52),T.2B-198,Spanish AF,,,U1
Unknown country,16-Apr-1972,DH-114 Heron,,Prinair,0,,H2
Pacific Ocean,19-Sep-1945,Douglas C-47A (DC-3),A65-6,RAAF,0,"near Tarakan, Ind...",A1
Unknown country,30-Dec-1945,Douglas C-47B (DC-3),43-16219,USAAF,,unknown,A1
Pacific Ocean,21-May-1944,Consolidated PBY-5 Catalina,8509,US Navy,6,South Pacific,A1
Unknown country,26-Apr-1951,Douglas C-47D (DC-3),43-49764,USAF,,,A1
Unknown country,15-Feb-1945,Curtiss C-46D,44-77355,USAAF,,,U1
Unknown country,23-Apr-1987,Antonov An-2,R34,Angolan AF,,,U1
Unknown country,27-May-1945,Douglas C-47B (DC-3),43-49116,USAAF,,unknown,A1
Pacific Ocean,18-Nov-1943,Consolidated PBY-5A Catalina,8038,US Navy,,South Pacific,A1
Unknown country,21-Dec-1944,Curtiss C-46D,42-101038,USAAF,,,U1
Unknown country,15-Nov-1943,Curtiss C-46A,41-12315,USAAF,,,U1
Atlantic Ocean,03-Feb-1959,Boeing 707-121,N712PA,Pan Am,0,near Atlantic Ocean,A2
Unknown country,04-Oct-1965,Douglas C-47A (DC-3),42-108957,USAF,,unknown,A1
Antarctica,15-Sep-1976,Lockheed SP-2E Neptune,0644/2-P-103,Argentine Navy,11,Livingston I...,A1
Unknown country,28-Mar-1945,Curtiss C-46D,44-77542,USAAF,,,A1
Unknown country,05-Nov-1975,Douglas C-47B (DC-3),T.3-35,Spanish AF,,,U1
Pacific Ocean,24-Sep-1944,Douglas C-47 (DC-3),41-38681,USAAF,,"near Owi Island, ...",A1
Unknown country,28-May-1963,Douglas VC-117A,45-2545,USAF,,,A1
Pacific Ocean,28-Aug-1945,Douglas C-47A (DC-3),42-100717,USAAF,19,"near Okinawa, Japan",A1
Antarctica,28-Jan-1973,Lockheed LC-130R Hercules,155917,US Navy,0,South Pole S...,A1
Unknown country,06-Dec-1945,Douglas C-47A (DC-3),42-92782,USAAF,,unknown,A1
Unknown country,12-Jul-1945,Douglas C-47A (DC-3),42-108977,USAAF,,unknown,A1
Unknown country,27-Jun-1957,Douglas C-47D (DC-3),43-49494,USAF,,,A1
Pacific Ocean,30-Jan-1942,Consolidated PBY-5 Catalina,2413,US Navy,,Pacific,A1
Unknown country,04-Oct-1944,Douglas C-47A (DC-3),42-93737,USAAF,,unknown,A1
Unknown country,30-Jul-1945,Curtiss C-46D,44-77495,USAAF,,,A1
Unknown country,16-Mar-1945,Curtiss C-46D,44-77360,USAAF,,,A1
Unknown country,28-Feb-1967,Douglas C-47A (DC-3),43-16040,USAF,,unknown,A1
Atlantic Ocean,24-Jun-1944,PB2B-1 Canso A (PBY-5A),9754,RCAF,3,near Shetland Isl...,C1
Unknown country,05-Jun-1945,Curtiss C-46D,42-101087,USAAF,,,A1
Unknown country,29-Mar-1945,Curtiss C-46D,44-77357,USAAF,,,U1
Unknown country,26-Jun-1944,Curtiss C-46A,42-3606,USAAF,,,U1
Unknown country,04-Oct-1940,DH.95 Flamingo,T5357,RAF,,unknown,A1
Pacific Ocean,03-Jul-1965,Grumman HU-16B Albatross,51-058,USAF,,Gulf of Tonkin,A1
Unknown country,06-Sep-1945,Curtiss C-46D,44-77759,USAAF,,,A1
Unknown country,26-Nov-1944,Douglas C-47B (DC-3),43-16361,USAAF,,unknown,U1
Unknown country,??-???-1962,Douglas C-54B (DC-4),XV-NUA,Air Vietnam,,,U1
Atlantic Ocean,09-Oct-1944,Douglas C-47B (DC-3),43-48778,USAAF,,Atlantic Ocean,A1
Pacific Ocean,21-Jan-1945,Curtiss C-46A,42-101067,USAAF,,South West P...,A1
Unknown country,02-Nov-1946,Douglas C-47B (DC-3),43-49141,USAAF,8,Caribbean,A1
Pacific Ocean,04-Jul-1958,Douglas C-124C Globemaster II,50-107,USAF,6,near Johnston Island,A1
North Pole,27-Oct-1957,Ilyushin Il-12P,CCCP-N442,"Aeroflot, Polar",1,North Pole d...,A1
Atlantic Ocean,08-Jun-1942,Consolidated PBY-5A Catalina,4404,US Navy,10,near Newfoundland...,A1
Unknown country,04-Mar-1945,Curtiss C-46D,44-77488,USAAF,,,A1
Unknown country,13-Sep-1945,Douglas C-47A (DC-3),43-15411,USAAF,,Unknown,A1
Indian Ocean,07-Oct-2008,Airbus A330-303,VH-QPA,Qantas,0,"near Learmonth, W...",A2
Unknown country,??-SEP-1986,BN-2A-21 Islander,N455JH,Gorda Aero Service,,,U1
Unknown country,01-Aug-1944,Curtiss C-46A,41-24691,USAAF,,,A1
Atlantic Ocean,15-Nov-1953,Grumman SA-16A Albatross,51-036,USAF,5,between Icel...,A1
Unknown country,13-May-1945,Douglas C-47A (DC-3),42-100617,USAAF,,Unknown,A1
Unknown country,20-Jan-1953,Douglas C-47B (DC-3),348994/FRAZF,French AF,,Indo-China,A1
Unknown country,15-Oct-1945,Curtiss C-46D,44-78259,USAAF,,,A1
Unknown country,date unk.,BN-2A Islander,MM60223,Somalian Aeronautical Corps,,,U1
Unknown country,14-May-1945,Douglas C-47A (DC-3),42-100951,USAAF,,Unknown,A1
Unknown country,26-Nov-1977,BN-2A Islander,TR-LNG,Bureau de Prospection Forestière,,,U1
Atlantic Ocean,20-Nov-1952,Lockheed P2V-4 Neptune,124242,US Navy,8,near Block Island...,A1
Atlantic Ocean,12-Feb-1944,Consolidated PBY-5 Catalina,8535,US Navy,,"near Tampa, FL",A1
Pacific Ocean,02-Oct-1996,Boeing 757-23A,N52AW,AeroPeru,70,"near Lima, Peru",A1
Unknown country,04-Oct-1957,Douglas C-47D (DC-3),43-48520,USAF,,,A1
Unknown country,08-Jun-1944,Douglas C-47 (DC-3),41-38573,USAAF,3,between Sook...,A1
Unknown country,23-Jun-1945,Curtiss C-46D,44-78230,USAAF,,,A1
Unknown country,21-Aug-1969,Bristol 170 Freighter 21E,G775,Pakistan AF,,,U1
Unknown country,??-???-1991,Dassault Falcon 20C,N425JA,Franks Petroleum,0,unknown,O1
Unknown country,08-Nov-1945,Curtiss C-46D,44-78453,USAAF,,,A1
Unknown country,11-Mar-1945,Curtiss C-46A,42-3572,USAAF,,,A1
Unknown country,??-FEB-1972,Douglas C-47A (DC-3),T.3-13,Spanish AF,,,U1
Pacific Ocean,31-May-1942,Consolidated PBY-5 Catalina,2393,US Navy,,"near Mare Island,...",A1
Unknown country,??-???-1977,CASA C-212 Aviocar 100,123,Jordanian AF,,,U1
Unknown country,16-Mar-1945,Curtiss C-46D,44-77410,USAAF,,,A1
Unknown country,24-Jul-1944,Douglas C-47A (DC-3),42-93349,USAAF,6,,A1
Unknown country,??-FEB-1977,Curtiss C-46A,CP-1009,Frigorifico Reyes,,,U1
Pacific Ocean,13-Oct-1945,Douglas C-47B (DC-3),43-49754,USAAF,6,between Okin...,A1
Atlantic Ocean,27-Apr-1949,Douglas C-47B (DC-3),43-16396,USAF,0,near Stephenville...,A1
Pacific Ocean,23-Jul-1966,Douglas DC-3-362,HS-OOO,Thai Government,3,near San Francisc...,A1
Atlantic Ocean,19-Sep-2000,Antonov An-2,,Unknown,1,near Cuba,A1
Unknown country,06-Feb-1945,Douglas C-47B (DC-3),43-16319,USAAF,,unknown,A1
Unknown country,19-Feb-1945,Curtiss C-46D,44-77409,USAAF,,,U1
Unknown country,03-May-1944,Curtiss C-46A,42-3605,USAAF,0,,A1
Unknown country,17-Mar-1953,CASA 352 (Ju-52),T.2-185,Spanish AF,,,U1
Unknown country,??-???-1960,Douglas C-47A (DC-3),348014,Vietnam Air Force - VNAF,,unknown,U1
Unknown country,26-Dec-1944,Douglas C-47A (DC-3),42-23950,USAAF,,unknown,A1
Antarctica,09-Feb-1970,UC-1A Otter (DHC-3),OO-HAD,Zuidpool Expeditie,0,SANAE Station,A1
Unknown country,17-Apr-1972,Boeing 727,,Alaska Airlines,0,,H2
Unknown country,25-Aug-1945,Curtiss C-46D,42-101079,USAAF,,,A1
Unknown country,02-Jun-1945,Douglas C-47A (DC-3),42-23470,USAAF,,unknown,A1
Unknown country,??-???-1942,Junkers Ju-52/3mte,D-ARDS,German AF,,,A1
Atlantic Ocean,05-Dec-1945,Martin PBM-5 Mariner,59225,US Navy,14,near Cape Canaver...,A1
Atlantic Ocean,03-Jul-1947,Douglas C-54G (DC-4),45-519,USAAF,6,near Florida coas...,A1
Indian Ocean,28-Nov-1987,Boeing 747-244B,ZS-SAS,South African Airways,159,near Mauritius,A1
Unknown country,06-Sep-1944,Curtiss C-46A,41-24697,USAAF,,,U1
Unknown country,??-???-1976,Antonov An-2R,SP-WMP,ZUA,,,U1
Unknown country,29-Jan-1945,Curtiss C-46D,42-101157,USAAF,,,A1
Unknown country,30-Sep-1945,Curtiss C-46D,44-77944,USAAF,,,A1
Unknown country,??-???-1943,Junkers Ju-52/3mte,D-APXD,German AF,,,A1
Antarctica,30-Dec-1946,Martin PBM-5 Mariner,59098,US Navy,3,Thurston Island,A1
Atlantic Ocean,09-Apr-1950,Consolidated PBY-5 Catalina,VP-BAO,Caribbean International,0,"near Kingston, Ja...",A1
Pacific Ocean,12-Jul-1953,Douglas DC-6,N90806,Transocean Air Lines,58,near Wake Island ...,A1
Unknown country,??-AUG-1953,Bristol 170 Freighter IA,T-41,Argentine AF,,,A1
Unknown country,22-Apr-1945,Curtiss C-46D,44-77392,USAAF,,,A1
Pacific Ocean,06-Jun-1970,Fairchild AC-119K Stinger,52-5935,USAF,1,"near Da Nang, Vie...",A1
Mediterranean Sea,31-Dec-1970,Nord 262E,F-BNGB,Rousseau Aviation,30,"near Algiers, Alg...",A1
Indian Ocean,29-Nov-1987,Boeing 707-3B5C,HL7406,Korean Air,115,"near Tavoy, Myanm...",C1
Unknown country,??-NOV-1959,Bristol 170 Freighter 31M,S4419,Pakistan AF,,,A1
Unknown country,17-Jan-1946,Douglas C-47A (DC-3),43-15469,USAAF,,Unknown,A1
Mediterranean Sea,12-May-1942,Junkers Ju-52/3m,1Z+GV,German AF,4,between Male...,C1
Antarctica,25-Jan-2005,Dornier 228-101,D-CICE,Alfred Wegener Inst.,0,Rothera Station,A1
Unknown country,07-Oct-1970,Douglas C-47 (DC-3),CF-TAR,TransAir,,,A1
Atlantic Ocean,07-May-1943,Curtiss C-46,41-5180,USAAF,,near Great Inagua...,A1
Unknown country,28-Aug-1967,Douglas C-47D (DC-3),43-16282,USAF,,unknown,A1
Unknown country,20-Oct-1945,Curtiss C-46D,44-78330,USAAF,,,A1
Unknown country,date unk.,BN-2A-21 Islander,N497BN,St. Lucia Airways,,,U1
Unknown country,date unk.,Antonov An-2T,CCCP-01196,"Aeroflot, Azerbaijan",0,,O1
Unknown country,10-Jul-1987,Antonov An-2,YR-PBE,Aviatia Utilitara,,,A1
Unknown country,03-Mar-1960,CASA 352 (Ju-52),T.2B-183,Spanish AF,,,U1
Unknown country,12-Dec-1955,Douglas TC-47A (DC-3),43-16119,USAF,,unknown,A1
Unknown country,14-May-1945,Curtiss C-46D,44-77919,USAAF,,,A1
Unknown country,13-Sep-1945,Curtiss C-46D,42-101147,USAAF,,,A1
Unknown country,12-Jan-1945,Douglas C-47A (DC-3),43-15829,USAAF,,unknown,U1
Atlantic Ocean,15-Nov-1944,Douglas C-47 (DC-3),CCCP-L928,Aeroflot,7,near Memel [Balti...,A1
Unknown country,21-Jan-1944,Douglas C-47A (DC-3),42-92048,USAAF,,unknown,A1
Unknown country,??-???-1941,Junkers Ju-52/3m,D-ARIW,German AF,,,A1
Pacific Ocean,04-Feb-1969,Lockheed HC-130H Hercules,65-0990,USAF,13,near Taiwan,A1
Pacific Ocean,25-May-2002,Boeing 747-209B,B-18255,China Airlines,225,near Penghu islan...,A1
Unknown country,09-Mar-1945,Curtiss C-46D,44-77476,USAAF,,,A1
Antarctica,28-May-1958,Antonov An-2T,CCCP-N542,"GUSMP, Directorate of Polar Aviation",0,Lake Figurnoye,O1
Mediterranean Sea,29-Sep-1960,Vickers 739B Viscount,SU-AKW,UAA,21,"near Elba, Italy ...",A1
Unknown country,23-Jan-1946,Curtiss C-46D,42-101210,USAAF,,,A1
Unknown country,30-Sep-1945,Douglas C-47A (DC-3),43-15455,USAAF,,Unknown,A1
Unknown country,10-Jun-1945,Curtiss C-46D,44-77415,USAAF,,,A1
Unknown country,30-May-1969,Convair CV-600,,Texas International,0,,H2
Atlantic Ocean,24-May-2019,Cessna 560 Citation Encore,N832R,Jet Sales LLC,1,near Fort Lauderd...,A1
Atlantic Ocean,23-Oct-1984,DHC-4A Caribou,N5488R,NewCal Aviation,1,near Sable Island...,A1
Unknown country,??-JUN-1981,BN-2A-8 Islander,TN-ADS,Aéro-Service,,,U1
Unknown country,18-Sep-1945,Douglas C-47A (DC-3),42-93311,USAAF,,unknown,A1
Antarctica,02-Feb-1966,Douglas LC-47J,50832,US Navy,6,Ross Ice Shelf,A1
Unknown country,22-Aug-1946,Douglas C-47A (DC-3),42-93450,USAAF,,unknown,U1
Pacific Ocean,05-Oct-1943,Consolidated PBY-5A Catalina,33967,US Navy,0,Pacific Ocean,A1
Unknown country,??-JUN-1973,BN-2A Islander,CF-XZS,Arctic Air,,,U1
Unknown country,??-JAN-1986,Douglas DC-6BF,HR-AIV,Unknown,,,U1
Mediterranean Sea,03-Oct-1980,Douglas C-47A (DC-3),ECT-025,Kurfiss Aviation,2,between Madr...,A1
Indian Ocean,07-Jan-2017,Canadair Challenger 604,D-AMSC,MHS Aviation,0,"near Muscat, Oman",A1
Unknown country,??-???-1943,Junkers Ju-52/3m,D-ACBE,German AF,,,A1
Unknown country,??-???-1942,Douglas R4D-1 (DC-3),4696,USMC,,unknown,A1
Unknown country,18-May-1945,Douglas C-47A (DC-3),42-100466,USAAF,,Unknown,A1
Unknown country,08-Apr-1945,Curtiss C-46D,44-77466,USAAF,,,A1
Unknown country,23-Mar-1945,Curtiss C-46A,42-107296,USAAF,,,A1
Unknown country,09-Feb-1968,Douglas C-47 (DC-3),HZ-AAE,Saudi Arabian,,,A1
Unknown country,06-Mar-1945,Curtiss C-46D,44-77363,USAAF,,,A1
Antarctica,18-Oct-1956,Lockheed P2V-2N Neptune,122465,US Navy,4,McMurdo Station,A1
Pacific Ocean,11-Jan-1947,Douglas C-54A (DC-4),PI-C100,Far East Air Transport,7,"near Laoag, Phili...",A1
Antarctica,31-Oct-1960,Lockheed WV-2 Super Constellation,126513,US Navy,0,McMurdo Sound,A1
Pacific Ocean,19-Mar-1945,Douglas Dakota IV (DC-3),KN343,RAF,0,near Port Moresby...,A1
Pacific Ocean,26-Feb-1945,Consolidated C-87A,41-24174,USAAF,10,near Marshall Isl...,A1
Unknown country,25-May-1945,Douglas C-47A (DC-3),43-15243,USAAF,,Unknown,A1
Atlantic Ocean,09-Dec-1963,Curtiss C-46A,N5160V,private,3,near Azores Islands,A1
Unknown country,??-???-1941,Junkers Ju-52/3m,D-AEAO,German AF,,,A1
Unknown country,??-???-1977,Antonov An-2R,SP-WML,ZUA,,,O1
Unknown country,19-Sep-1945,Curtiss C-46D,44-77455,USAAF,,,A1
Atlantic Ocean,28-Dec-1948,Douglas DST-144 (DC-3),NC16002,Airborne Transport,32,"near Florida, USA...",A1
North Pole,26-May-1955,Lisunov Li-2,CCCP-N535,Polyarnaya Aviatsiya,0,N73°15' E162...,A1
Unknown country,11-Nov-1944,Douglas C-47B (DC-3),43-48707,USAAF,,unknown,A1
Unknown country,05-May-1972,Boeing 727,,Eastern Air Lines,0,,H2
Pacific Ocean,22-Aug-1967,Fairchild C-123B Provider,657,Republic of China AF,6,near China [South...,A1
Unknown country,31-Jan-1944,Curtiss C-46A,41-24707,USAAF,,,U1
Antarctica,24-Sep-1992,DHC-6 Twin Otter 200,T-84,LADE,0,Base Bernard...,O1
Atlantic Ocean,11-Jun-1942,Short Sunderland I,L5805,RAF,9,South Atlantic,A1
Unknown country,05-Sep-1945,Curtiss C-46D,44-78472,USAAF,,,A1
Pacific Ocean,16-Jun-1942,Douglas C-53 Skytrooper (DC-3),41-20069,USAAF,,Pacific Ocean,A1
Unknown country,12-Nov-1965,Douglas C-47A (DC-3),T.3-39,Spanish AF,,,U1
Antarctica,27-Nov-2014,Lockheed C-130M Hercules,2470,Brazilian AF,0,Teniente Rod...,A2
Pacific Ocean,06-Sep-1944,Consolidated PBY-5 Catalina,4492,US Navy,,St. Genges C...,A1
Unknown country,09-Mar-1945,Curtiss C-46D,44-77496,USAAF,,,A1
Mediterranean Sea,13-Nov-1942,Douglas C-47 (DC-3),41-18469,USAAF,,Mediterranea...,A1
Unknown country,21-Apr-1945,Curtiss C-46A,42-107325,USAAF,,,U1
Atlantic Ocean,12-Dec-1956,Curtiss C-46F,N1662M,Aerovias Sud Americana,0,near Panama [Gulf...,A1
Atlantic Ocean,13-Jan-1923,Aeromarine 75,,Aeromarine Airways,4,"near Havana, Cuba",A1
Unknown country,??-MAR-1937,Douglas DC-2-115B,EC-AAY,LAPE,,unknown,U1
Antarctica,20-Jan-2016,DHC-6 Twin Otter 300,C-GCKB,Kenn Borek Air,0,Amundsen-Sco...,A2
Unknown country,30-Aug-1975,Antonov An-2R,CCCP-70506,"Aeroflot, Belarus",,,A1
Unknown country,02-Feb-1965,Antonov An-2R,CCCP-45218,"Aeroflot, Belarus",,,A1
Pacific Ocean,16-Nov-1946,Curtiss C-46F,44-78691,USAAF,23,near Iwo Jima Air...,A1
Unknown country,28-Mar-1946,Douglas Dakota (DC-3),FD783,RAF,,unknown,U1
Mediterranean Sea,08-Sep-1974,Boeing 707-331B,N8734,TWA,88,"near Cephalonia, ...",C1
Atlantic Ocean,12-Jul-2004,Convair CV-440,N4826C,Dodita Air Cargo,1,"near Beef Island,...",A1
Unknown country,22-Jun-1943,Douglas C-47 (DC-3),41-7843,USAAF,,unknown,U1
Atlantic Ocean,27-May-1962,Douglas C-133A Cargomaster,57-1611,USAF,6,"near Dover AFB, D...",A1
Pacific Ocean,16-Mar-1962,Lockheed L-1049H Super Constellatio,N6921C,Flying Tiger Line,107,between Guam...,A1
Atlantic Ocean,10-Dec-1965,Lockheed P-2H Neptune,147960,US Navy,1,near Brunswick NA...,A1
Unknown country,06-Mar-1945,Douglas C-47B (DC-3),43-16300,USAAF,,unknown,A1
Unknown country,15-Jul-1943,Douglas C-47 (DC-3),41-18512,USAAF,,unknown,A1
Unknown country,28-Apr-1944,Douglas C-47A (DC-3),42-24218,USAAF,,unknown,A1
Unknown country,25-Aug-1956,Douglas C-47A (DC-3),42-93195,US Navy,,unknown,A1
Unknown country,23-Apr-1945,Douglas C-47A (DC-3),42-92928,USAAF,,unknown,A1
Unknown country,07-Oct-1945,Curtiss C-46D,44-77924,USAAF,,,A1
Pacific Ocean,13-Oct-1974,Lockheed WC-130H Hercules,65-0965,USAF,6,near Clark Air Ba...,A1
Atlantic Ocean,13-Oct-1955,Lockheed Neptune MR.1,WX510,RAF,9,"near Barra, Outer...",A1
Unknown country,15-Dec-1996,Beech 200 Super King Air,OB-1509,TAMSA,,,U1
Pacific Ocean,29-Jun-1946,Douglas R4D-5 (DC-3),17187,USMC,,near Hawaii,A1
Unknown country,02-Jul-1943,Douglas C-53D-DO (DC-3),42-68708,USAAF,,unknown,A1
Mediterranean Sea,29-Sep-1958,Avro 685 York I,OD-ADB,MEA,5,Mediterranea...,A1
Unknown country,06-Apr-1993,Antonov An-2M,CCCP-13343,MAP Kuibyshev,,,A1
Unknown country,03-Aug-1944,Curtiss C-46A,42-60955,USAAF,,,U1
Unknown country,20-Apr-1945,Curtiss C-46D,44-77486,USAAF,,,A1
Unknown country,25-Sep-1965,DHC-3 Otter,PK-PHA,Pelita Air Service,,,U1
Atlantic Ocean,27-Jun-1985,Embraer P-95 Bandeirulha (EMB-111A),7053,Brazilian AF,4,near Ponta de Muc...,A1
Unknown country,13-Jul-1943,Douglas C-47 (DC-3),41-18518,USAAF,4,between Moha...,A1
Pacific Ocean,07-Aug-1946,Consolidated PBY-5A Catalina,48284,US Navy,6,"near Point Arena, CA",A1
Pacific Ocean,11-Jul-1946,Douglas C-54 (DC-4),,USAAF,0,near Guam,A1
Unknown country,23-Jun-1959,CASA 352 (Ju-52),T.2B-239,Spanish AF,,,U1
Unknown country,26-Dec-1944,Curtiss C-46D,44-77387,USAAF,,,A1
Unknown country,14-Sep-1953,Douglas C-47D (DC-3),43-16270,USAF,,unknown,A1
Pacific Ocean,14-Jan-1944,Consolidated PBY-5 Catalina,8510,US Navy,,South Pacific,A1
Unknown country,02-Feb-1945,Curtiss C-46A,42-101089,USAAF,,,A1
Unknown country,27-Mar-1954,Douglas C-47A (DC-3),348267,French AF,,,U1
Unknown country,??-NOV-1943,Curtiss C-46,41-5183,Northwest Airlines,,,U1
Atlantic Ocean,04-Apr-1943,Lockheed 18 Lodestar,G-AGEJ,BOAC,7,"near Skagen, Denm...",C1
Unknown country,21-Sep-1945,Curtiss C-46D,44-77321,USAAF,,,A1
Unknown country,18-Sep-1944,Douglas Dakota III (DC-3),FL640,RAF,,between Dinj...,A1
Atlantic Ocean,06-Jan-1944,Short Sunderland III,JM709,RAF,11,Bay of Biscay,A1
Pacific Ocean,20-Oct-1943,Douglas C-47A (DC-3),42-23965,USAAF,15,near Palmyra Isla...,A1
Unknown country,27-Aug-1943,Lisunov Li-2,CCCP-L4047,Aeroflot,6,unknown,C1
Unknown country,??-???-1944,Douglas C-47A (DC-3),42-23645,USAAF,,Unknown,U1
Pacific Ocean,01-Dec-1944,Consolidated PBY-5A Catalina,48331,US Navy,,South Pacific,A1
Indian Ocean,23-Mar-1946,Avro 691 Lancastrian C.1,G-AGLX,"BOAC, op.for Qantas",10,Indian Ocean,A1
Mediterranean Sea,08-May-1936,Lioré-et-Olivier H.242/1,F-ANQG,Air France,0,near Algerian coast,A1
Unknown country,25-Feb-1944,Curtiss C-46A,41-24726,USAAF,,,U1
Unknown country,??-???-1976,Convair CV-440-86,CP-1008,Servicio Aéreo San Francisco,,,U1
Unknown country,25-Mar-1945,Curtiss C-46D,44-77376,USAAF,,,A1
Antarctica,26-Jan-1989,Avia 14,CCCP-52066,"Aeroflot, Central Region",3,Mirny Ice St...,A1
Unknown country,??-???-1943,Junkers Ju-52/3mg4e,D-ABEW,German AF,,,A1
Pacific Ocean,17-Sep-1956,Lockheed WV-3 Super Constellation,137893,US Navy,0,near Guam,A1
Pacific Ocean,12-Dec-1944,Douglas C-47A (DC-3),43-30745,USAAF,4,between Biak...,A1
Unknown country,??-JUN-1973,BN-2A Islander,TR-LOD,Air Gabon,,,U1
Unknown country,??-JUN-1945,Curtiss C-46A,43-47219,USAAF,,,U1
Unknown country,06-Nov-1979,BN-2A-9 Islander,YV-269C,Transmandu,,,U1
Unknown country,05-Aug-1955,Bristol 170 Freighter 21P,G804,Pakistan AF,,,U1
Mediterranean Sea,13-Apr-1943,Savoia-Marchetti SM-75,I-MAST,LATI,,Mediterranea...,C1
Pacific Ocean,08-Jun-1945,Douglas C-47B (DC-3),43-49762,USAAF,8,between Tacl...,A1
Unknown country,01-Apr-1945,Douglas C-54A (DC-4),42-72244,USAAF,,,U1
Unknown country,date unk.,Ilyushin Il-76M,CCCP-86742,Soviet AF,,,U1
Unknown country,23-Jul-1963,Douglas C-47D (DC-3),43-48766,USAF,,,A1
Unknown country,07-Dec-1942,Douglas C-47 (DC-3),41-18453,USAAF,,unknown,A1
Unknown country,??-???-1976,Antonov An-2R,SP-WCH,WSK Okecie,,,U1
Unknown country,24-Nov-1943,Curtiss C-46A,41-12287,USAAF,1,between Sook...,C1
Unknown country,02-Sep-1953,Douglas C-47A (DC-3),43-15267,USAF,,unknown,A1
Atlantic Ocean,19-Jun-1939,Short S.30 Empire Flying Boat,G-AFCW,Imperial Airways,0,Hythe,O1
Unknown country,24-Mar-1945,Curtiss C-46D,44-77590,USAAF,,,A1
Unknown country,13-Sep-1951,Douglas C-47B (DC-3),K-41/OT-CWT,Belgian AF,,unknown,A1
Unknown country,??-???-1972,Scottish Aviation Twin Pioneer 3,PK-GTA,Merpati Nusantara,,,U1
Unknown country,11-Dec-1942,Douglas C-47 (DC-3),41-7841,USAAF,,unknown,U1
Pacific Ocean,27-Mar-1953,Douglas R5D-1 (DC-4),N229A,California Eastern,0,near San Fransisc...,A1
Unknown country,29-May-1945,Curtiss C-46D,44-77462,USAAF,,,U1
Unknown country,04-Feb-1985,C-115 Buffalo (DHC-5),2373,Brazilian AF,,,U1
Pacific Ocean,16-Oct-1945,Douglas C-47A (DC-3),42-92929,USAAF,12,"near Saipan, Mari...",A1
Unknown country,09-Jan-1965,DHC-3 Otter,PK-PHB,Pelita Air Service,,,U1
Unknown country,22-Oct-1978,Boeing 727-82C,CS-TBO,TAP,0,"Madrid, Lisbon",H2
Unknown country,29-Dec-1944,Curtiss C-46A,42-3642,USAAF,,,A1
North Pole,08-May-1954,Antonov An-2,CCCP-N140,"GUSMP, Directorate of Polar Aviation",0,"N89°09', W90...",A1
Unknown country,01-Oct-1945,Douglas Dakota III (DC-3),FL613,RAF,,unknown,U1
Unknown country,12-Jul-1972,unknown,,UTA,0,Abidjan-Feli...,H2
Atlantic Ocean,10-Apr-1970,Curtiss C-46D,HK-1281,Aerocosta Colombia,4,Caribbean Sea,A1
Atlantic Ocean,15-Sep-1995,MD-11,EI-CDJ,Garuda,0,near waypoint GURKA,A2
Unknown country,04-Jan-1945,Douglas C-47A (DC-3),43-15899,USAAF,,unknown,U1
Unknown country,28-Dec-1944,Curtiss C-46D,44-77348,USAAF,,,A1
Unknown country,??-SEP-1945,Curtiss C-46D,44-78504,USAAF,,,A1
Unknown country,05-Jan-1945,Curtiss C-46D,44-77343,USAAF,,,A1
Unknown country,18-Mar-1944,Curtiss C-46A,42-3634,USAAF,,,U1
Unknown country,14-Sep-1951,Bristol 170 Freighter 21E,G780,Pakistan AF,,,A1
Unknown country,27-Sep-1945,Douglas C-47A (DC-3),43-15036,USAAF,,Unknown,A1
Pacific Ocean,09-Apr-1966,Lockheed P-3A Orion,152171,US Navy,11,near San Diego-No...,A1
Unknown country,29-Oct-1943,Curtiss C-46A,41-12299,USAAF,,,U1
Unknown country,28-Aug-1944,Curtiss C-46A,41-24704,USAAF,,,U1
Unknown country,29-Oct-1943,Curtiss C-46A,41-12313,USAAF,,,U1
Atlantic Ocean,27-Jul-1952,Boeing 377 Stratocruiser,N1030V,Pan Am,1,near Rio de Janei...,A2
Unknown country,??-MAY-1985,BN-2A-9 Islander,TZ-ACS,Air Mali,,,U1
Unknown country,06-Jan-1966,Antonov An-2T,5212,Polish AF,,,A1
Unknown country,08-Jun-1944,Douglas C-47 (DC-3),42-32866,USAAF,3,between Ting...,A1
Unknown country,??-APR-1980,Convair CV-440,N94436,private,,,U1
Unknown country,31-Oct-1943,Douglas C-47 (DC-3),41-18498,USAAF,,unknown,A1
Unknown country,16-Dec-1943,Consolidated C-87,41-23095 ??,USAAF,,,A1
Unknown country,23-Mar-1945,Curtiss C-46D,44-77527,USAAF,,,A1
Unknown country,04-Aug-1944,Curtiss C-46A,41-24698,USAAF,,,A1
Pacific Ocean,18-Jun-1965,Grumman HU-16B Albatross,51-5287,USAF,0,near North Vietna...,A1
Unknown country,17-Dec-1944,Junkers Ju-52/3m,4V+OP,German AF,4,,A1
Unknown country,22-Jun-1945,Curtiss C-46D,44-78269,USAAF,,,A1
Unknown country,16-Apr-1990,Antonov An-26,YN-BYX,Aeronica,,,A1
Unknown country,01-Aug-1945,Curtiss C-46D,44-78200,USAAF,3,,A1
