Country,date,Air-craft type,registration name/mark,operator,fatilites,location,category
India,05-May-1957,Douglas C-47A (DC-3),VT-AUV,Indian Airlines,1,Santoshpur v...,A1
Mexico,??-MAY-1997,Lockheed C-130A Hercules,55-0035,Mexican AF,,,U1
Cuba,01-May-1970,Boeing 727,,BWIA,0,Havana Airpo...,H2
Algeria,11-Apr-1967,Douglas DC-4,7T-VAU,Air Algérie,35,near Tamanrasset ...,A1
Indonesia,12-Apr-2017,Cessna 208 Caravan I,PK-FSO,Spirit Avia Sentosa,1,near Oksibil Airp...,A1
USA,24-Aug-1992,Fairchild F-27M,N276RD,Airlift Int.,0,Miami Intern...,O1
Denmark,06-Dec-1968,Dornier Do 28D-1 Skyservant,N7154,private,1,near Sønderborg,A1
Panama,27-Mar-1953,Curtiss C-46,HC-SJA,AREA Ecuador,0,Panama City-...,A1
Canada,06-Nov-2017,Cessna 208B Grand Caravan,C-FAKZ,Alkan Air,0,Coffee Creek...,A2
Congo (former Zaire),16-Oct-1999,DC-8-62F,9G-REM,Continental Cargo Airlines,0,Kinshasa-N'D...,A1
Saudi Arabia,08-Oct-1957,Bristol 170 Freighter 21E,HZ-AAC,Saudi Arabian,0,Taraif,A1
Cyprus,03-Oct-1955,Vickers Valetta C.2,VX571,RAF,0,Nicosia Airp...,A1
United Arab Emirates,07-Nov-2004,Boeing 747-230F (SCD),TF-ARR,"Air Atlanta Icelandic, op.for Lufthansa Cargo",0,Sharjah Airp...,A1
Myanmar,20-Apr-1944,Douglas C-47 (DC-3),41-19497,USAAF,0,Hasmshingyang,A1
Congo (former Zaire),06-Dec-1961,Douglas C-47A (DC-3),KA-DFN,Katanga Government,0,Kolwezi Airp...,C1
Brazil,26-Dec-1968,Douglas C-47B (DC-3),2013,Brazilian AF,,Praia Ponta ...,A1
USA,18-Dec-1992,Cessna 550 Citation II,N6887Y,U.S. Department of Energy,8,near Billings-Log...,A1
Zimbabwe,06-Jan-1977,Douglas C-47B (DC-3),R7034,Rhodesian AF,3,near Chiredzi-Buf...,A1
Afghanistan,13-Sep-1987,Antonov An-26,,Soviet AF,15,Kunduz,C1
Angola,02-Feb-1999,Antonov An-12,EY-ASS,"Santa Cruz Imperial, op.for Savanair (Angola)",11+ 13,near Luanda-4 de ...,A1
USA,26-Jan-1963,Curtiss C-46F,N67933,Skyvan Airways,1,Cape Lisburn...,A1
USA,12-Jan-1995,Cessna 208B Super Cargomaster,N754FE,"Federal Express, op.for West Air",1,"Pleasanton, CA",A1
Russia,01-Dec-1971,Antonov An-24B,CCCP-46788,"Aeroflot, Privolzhsk",57,near Saratov Airp...,A1
South Sudan,11-Feb-2006,Antonov An-26,7799,Sudan AF,20,Aweil Airport,A1
United Kingdom,08-Apr-1995,Boeing 747-2U3B,PK-GSE,Garuda,0,near London-Gatwi...,A2
USA,31-Aug-2019,Cessna 510 Citation Mustang,N551WH,Star Jet,0,El Monte-San...,A1
Italy,14-Jan-1944,Douglas C-53 Skytrooper (DC-3),41-20129,USAAF,,Borizzo,A2
Pakistan,23-Oct-1941,Douglas DC-2-112,DG471,RAF,0,Karachi-Drig...,A1
United Kingdom,04-Jun-1970,A.W. AW-660 Argosy C.1,XP441,RAF,0,Benson-RAF S...,A1
Italy,24-Sep-1943,Junkers Ju-52/3mg5e,8T+FV,German AF,0,Capraia Gorg...,C1
Argentina,23-May-1977,Douglas C-47A (DC-3),TC-11,LADE,0,"Morón, BA",A1
Germany,19-Oct-1969,Ilyushin Il-18B,,LOT,0,Berlin-Tegel...,H2
China,19-Oct-2006,Xian Yunshuji Y-7,,China Air Force,2,near Hengshui,A1
USA,20-Jul-1993,Cessna T-47A Citation II,N12855,Cessna Aircraft,0,Topeka-Forbe...,O1
United Kingdom,06-Apr-1948,Douglas Dakota IV (DC-3),KN416,RAF,0,Oakington RA...,O1
USA,03-Mar-2020,Cessna 525C Citation CJ4,N989CJ,Textron,0,Nashville-Jo...,O1
Egypt,19-Jul-1970,Antonov An-24V,SU-ANZ,UAA,3,Cairo,A1
Australia,10-Sep-1999,Beech 1900D,VH-NTL,QantasLink/Impulse,0,Newcastle-Wi...,A2
Finland,14-Nov-1988,Embraer EMB-110P1 Bandeirante,OH-EBA,"Kar-Air Finland, op.for Wasa Wings",6,near Seinäjoki-Il...,A1
Australia,26-Mar-1947,Douglas C-47A (DC-3),W-12,Dutch Navy,0,near Gimbat Stati...,A1
Turkey,13-Sep-1942,DH.95 Flamingo,G-AFYI,BOAC,,Adana,A1
USA,09-Dec-1943,Douglas C-47A (DC-3),42-23343,USAAF,,Knollwood Ai...,A1
China,25-Jan-1947,Douglas DC-3,138,CNAC,19,near Chongqing,A1
USA,20-Jan-1972,DC-9-31,N9333,Hughes Airwest,0,Las Vegas-Mc...,H2
Greenland,12-May-1962,PBV-1A Canso (PBY-5A),CF-IHA,"Eastern Provincial Airways, op.for Greenlandair",15,Godthåb/Nuuk...,A1
France,22-Feb-1945,Douglas C-47A (DC-3),42-92742,USAAF,4,unknown,C1
USA,21-Dec-1997,Beech A100 King Air,N100BE,Aviation Charter,2,Colorado Spr...,A1
China,24-Aug-1938,Douglas DC-2-221,32,CNAC,14,Wangmoon,C2
USA,15-Aug-2019,DHC-6 Twin Otter 300,N322AV,Berry Aviation,0,San Marcos R...,A2
USA,23-Feb-2016,Embraer EMB-145MP (ERJ-145MP),N856HK,Trans States Airlines,0,Saint Louis-...,A2
USA,21-Jan-1943,Martin M-130,NC14715,Pan Am,19,"near Ukiah, CA",A1
Russia,15-Jan-2009,Ilyushin Il-76MD,RA-76827,Russian Ministry of Interior,0,Makhachkala ...,A2
Russia,18-Oct-1978,Antonov An-2P,CCCP-02457,"Aeroflot, West Siberia",0,near Nizhnevartovsk,A1
USA,08-Feb-1943,Consolidated PBY-5 Catalina,4438,US Navy,2,Whidbey Isla...,A1
Serbia,15-Jan-1944,Junkers Ju-52/3m,D-ADQW,Deutsche Lufthansa,5,near Beograd-Zemu...,A1
Brazil,07-Nov-1971,NAMC YS-11A-212,PP-SML,VASP,0,Aragarças Ai...,A1
Colombia,05-Feb-1949,Consolidated PBY-5A Catalina,HK-134,Avianca,5,Buenaventura...,A1
Austria,27-Jan-1944,Junkers Ju-52/3m,L5+GH,German AF,0,Trinksteinsa...,A1
Russia,25-Nov-1960,Ilyushin Il-14FK,CCCP-91610,"Aeroflot, Northern",9,near Leningrad-Sh...,A1
USA,18-Nov-1945,Douglas C-47A (DC-3),43-48068,USAAF,,"Atlanta AAF,...",A1
Japan,01-May-1963,DHC-3 Otter,JA3115,Nitto Aviation,9,Awaji-Shima,A1
USA,22-Nov-1994,DC-9-82 (MD-82),N954U,TWA,0,Saint Louis-...,A2
Peru,14-Feb-1991,Antonov An-2P,OB-1350,Aero Manu,0,near Iquitos,A1
USA,07-Nov-1985,Hawker Siddeley HS-125-F400A,N984HF,Hardees Foods,0,Sparta-White...,A1
Tanzania,25-Oct-2017,Cessna 208B Grand Caravan,5H-THR,Coastal Aviation,0,Lobo Wildlif...,A1
Philippines,24-Feb-2008,Dornier 328-100,RP-C5328,South East Asian Airlines,0,Manila-Ninoy...,A2
USA,04-Mar-1998,Cessna 650 Citation VII,N502T,Tenneco Management Co.,0,Manistee-Bla...,A2
Canada,04-Mar-2019,Cessna 208B Grand Caravan,C-FAFV,Amik Aviation,0,near Little Grand...,A2
USA,13-Aug-2016,Cessna 500 Citation I,N70SW,Strong Tower Services,0,Fort Lauderd...,A2
Denmark,17-Dec-1945,Fokker F.XII,OY-DIG,DDL,,København-Ka...,A1
Russia,30-Aug-1975,Tupolev Tu-104B,CCCP-42472,"Aeroflot, Ukraine",0,Novosibirsk-...,A1
Canada,11-Apr-1957,PBV-1A Canso (PBY-5A),CF-FZJ,Northern Wings,2,"near Manicouagon, QC",A1
Myanmar,18-Feb-1945,Douglas C-47A (DC-3),42-100445,USAAF,,Muse Airfield,A1
Germany,21-Apr-1945,Junkers Ju-352 Herkules,KT+VC,German AF,8,Börnersorf,A1
Turks and Caicos Islands,??-JAN-1985,Douglas DC-4,N88939,BIF Air Inc,,near South Caicos...,A1
USA,13-Jul-2009,Boeing 737-3H4,N387SW,Southwest Airlines,0,"near Charleston, WV",A2
Australia,29-Jan-1971,DC-8-63,CF-CPQ,Canadian Pacific,0,Sydney-Kings...,A2
Philippines,22-Oct-1945,Douglas C-47B (DC-3),44-76316,USAAF,,Manila,O1
Venezuela,11-Apr-1969,U-1A Otter (DHC-3),59-2221,US Army,3,San Antonio ...,A1
Italy,27-Jul-1951,CANT Z.506S,MM45497,Sottocentro Soccorso Cadimare,0,near Isola di Pal...,A1
Japan,30-Nov-1955,Fairchild C-119G Flying Boxcar,52-5881,USAF,0,near Kagoshima,A1
Turkey,17-Apr-1957,Douglas C-47A (DC-3),42-6071,Turkish AF,0,,A1
USA,18-Jun-2012,Beech Beechjet 400A,N826JH,N79TE,0,Atlanta-DeKa...,A1
India,10-Aug-1984,HAL-748,,Indian Airlines,0,Bangalore-Hi...,H2
Kyrgyzstan,08-Mar-1965,Ilyushin Il-18B,CCCP-75690,"Aeroflot, Kyrgyzstan",0,Frunze Airpo...,A2
Switzerland,01-Aug-1994,Cessna 500 Citation I,VR-BLV,SANTOM,0,Grenchen Air...,A2
Estonia,16-Sep-1984,Ilyushin Il-14FK,CCCP-91611,"Aeroflot, Leningrad",0,near Saaremaa Island,A1
Russia,03-May-1942,Lisunov PS-84,CCCP-L3980,Aeroflot,4,"Vypolzovo, K...",A1
USA,01-May-1991,IAI 1124A Westwind II,N445BL,PGA Tour Inv.,0,Oxford-Water...,A1
France,07-Feb-1953,Douglas C-54A (DC-4),F-BFGR,UAT,9,near Bordeaux-Mér...,A1
USA,12-Feb-2008,Raytheon 390 Premier I,N16DK,DEKA Research & Development,0,Leesburg Exe...,A2
USA,06-Feb-1975,Consolidated PBY-5A Catalina,N5588W,Unknown,3,"near Wikieup, AZ",A1
Czech Republic,25-Oct-1973,Avia 14-32A,OK-MCV,CSA,,Brno-Turany ...,O1
Taiwan,23-Jul-2014,ATR 72-212A (ATR 72-500),B-22810,TransAsia Airways,48,near Magong Airpo...,A1
Egypt,10-Jul-1974,Tupolev Tu-154,SU-AXB,EgyptAir,6,near Cairo,A1
Congo (former Zaire),19-Apr-2000,Cessna 208B Grand Caravan,ZS-ONT,"Gallovents Ten, op.for Kivu Air",2,near Bukavu,A1
Canada,23-Nov-2020,DHC-7-110,VP-FBQ,British Antarctic Survey,0,North Bay Ai...,O2
India,24-Jan-1946,Douglas Dakota IV (DC-3),KN659,RAF,0,Vadodara,A1
Colombia,31-Aug-1993,Curtiss C-46F,HK-400,Aerosol,0,La Colina Ai...,A1
China,15-Jun-1945,Douglas C-47A (DC-3),81,CNAC,3,,A1
India,17-May-1946,Douglas C-47B (DC-3),43-48308,USAAF,11,within India,A1
Ghana,07-Sep-1943,Consolidated C-87,41-24140,USAAF,10,near Accra Airport,A1
Russia,28-Jan-1970,Antonov An-24B,CCCP-47701,"Aeroflot, Yakutsk",34,near Batagay,A1
Congo (former Zaire),30-Sep-2017,Antonov An-12B,EX-001,D.R. Congo AF,8,near Kinshasa-N'D...,A1
Netherlands,10-May-1940,Junkers Ju-52/3m,,German AF,,near Waalhaven,A1
China,09-Oct-1944,Curtiss C-46A,42-3595,USAAF,,Kunming,A1
USA,19-Sep-2001,Beech 200 Super King Air,N711MZ,Champion Air,0,Indianapolis...,A2
India,13-May-1945,Consolidated C-109,44-48995,USAAF,,near Silchar,A1
USA,09-Jul-1943,Douglas C-54 (DC-4),41-37271,USAAF,3,near Dayton-Wrigh...,A1
Venezuela,08-Aug-2003,Cessna 208B Grand Caravan,YV-1069C,SASCA,1,Tocomita,A1
USA,04-Aug-1977,DHC-3 Otter,N48064,Woods Air Service,1,"near Bettles, AK",A1
Russia,25-Jun-1994,Antonov An-2P,RA-70263,"Aeroflot, East Siberia",0,Kirensk,A1
Papua New Guinea,23-Jan-1993,BN-2A-20 Islander,P2-ISF,Island Airways,0,Bambu Airpor...,A1
China,11-Mar-1943,Douglas C-53-DO (DC-3),53,CNAC,3,near Luishui,A1
Malaysia,15-Jun-1956,Vickers Valetta C.1,VX521,RAF,9,near Ipoh,A1
Hungary,18-Nov-1994,Tupolev Tu-134A-3,HA-LBK,Malev,0,Budapest-Fer...,O1
Sudan,25-Feb-1920,Handley Page O/400,G-EAMC,Handley Page Transport,0,near El Shereik,A1
Nicaragua,05-Apr-1960,Curtiss C-46A,AN-AIN,LANICA,2,near Siuna Airpor...,A1
Ukraine,13-May-1964,Antonov An-2R,CCCP-09259,"Aeroflot, Ukraine",1,"Svetilnoye, ...",A1
Venezuela,26-Dec-2005,Beech A100 King Air,YV1507,Unknown,0,near Paparo,A1
USA,09-Feb-2015,DHC-6 Twin Otter 200,N70EA,Eagle Air Transport,0,Sebastian Mu...,A2
Netherlands,10-May-1940,Junkers Ju-52/3m,,German AF,,near Den Haag,A1
Libya,??-???-1987,Douglas DC-3C,N62109,Private,,Dahra-Wareho...,A1
Hungary,10-Jul-1987,Antonov An-2R,HA-MBS,Ministry for Agriculture and Nutrition,0,,O1
Russia,30-Aug-1990,Yakovlev Yak-42,,Aeroflot,0,Voronezh Air...,H2
USA,24-Oct-2005,Learjet 55,N110ET,Pontiac Aviation,0,Boca Raton P...,O1
Peru,28-Mar-1998,Antonov An-32A,OB-1389,Peruvian AF,21+ 1,near Piura Airpor...,A1
Iraq,09-Nov-1970,Douglas DC-3,,Unknown,0,"Doha, Baghdad",H2
Brazil,28-Feb-2012,Cessna 208B Grand Caravan,PT-PTB,CTA - Cleiton Taxi Aéreo,1,near Manaus-Aeroc...,A1
USA,01-Oct-1974,Volpar Turboliner,N357V,Winship Air Services,6,Lupine Airst...,A1
Mexico,27-Aug-2015,Cessna 750 Citation X,XA-KYE,Unknown,0,Toluca Airpo...,A1
India,24-May-1945,Curtiss C-46D,42-101181,private,,near Cox's Bazaar,A1
USA,15-Nov-1941,Ford 4-AT-B Tri-Motor,NC6894,Private,0,near Wichita Fall...,A1
USA,25-Oct-1986,Boeing 737-222,N752N,Piedmont Airlines,0,Charlotte-Do...,A1
Turkey,23-Apr-1959,Avro 688 Super Trader,G-AGRH,Air Charter,12,Mount Süphan,A1
Angola,08-Nov-1983,Boeing 737-2M2,D2-TBN,TAAG,130,near Lubango Airp...,C1
USA,27-Jan-2017,Beech 200T Super King Air,N60RA,Eastern Air Express,0,West Palm Be...,A1
South Africa,10-Dec-1985,Douglas C-47B (DC-3),6874,South African AF,0,near Swartkop Air...,A2
Honduras,07-Jun-1962,Curtiss C-46A,HR-SAL,SAHSA,0,Tegucigalpa-...,A1
Japan,12-Mar-1974,Boeing 747SR-46 ?,,JAL,0,Okinawa-Naha...,H2
USA,30-Aug-1944,Budd RB-1 Conestoga,39296,US Navy,0,Chesapeake B...,A1
Myanmar,30-May-1945,Douglas C-47B (DC-3),44-76669,USAAF,,Meiktila,A1
China,04-Jan-2001,Shaanxi Yunshuji Y-8,31243,China Air Force,8,near Zheng Zou Ai...,A1
USA,11-Jan-1991,Beech 200 Super King Air,N200MR,United Executive Jet,0,Vichy-Rolla ...,A1
USA,13-Nov-2021,BN-2A-6 Islander,N866JA,Island Airways,4,near Beaver Islan...,A1
Russia,10-Sep-2008,Antonov An-12B,RA-11652,Russian AF,0,Buturlinovka...,A2
Germany,16-Nov-2019,Airbus A330-243,V5-ANO,Air Namibia,0,Frankfurt In...,A2
Ecuador,29-Aug-1998,Tupolev Tu-154M,CU-T1264,Cubana,70+ 10,Quito-Marisc...,A1
India,25-Dec-1956,Convair CV-240-5,AP-AHO,PIA,0,near Bombay-Santa...,A2
Iran,09-Mar-1964,DH-106 Comet 4,G-APDN,BOAC,0,Tehran-Mehra...,A2
Ecuador,25-Aug-1969,Douglas C-47B (DC-3),HC-ALK,TAO,1,Suere,A1
United Kingdom,27-Dec-1979,Boeing 747-121SF,N771PA,Pan Am,0,London-Heath...,A2
Greece,14-Aug-1943,Savoia-Marchetti SM-75 bis,I-BETA,Nucleo Comunicazioni Avio Linee,17,near Rhodes,A1
Ecuador,14-Jul-1980,Vickers 745D Viscount,HC-BHB,Aerolineas Condor,0,Loja Airport...,A1
Russia,19-Mar-2016,Boeing 737-8KN (WL),A6-FDN,flydubai,62,Rostov Airpo...,A1
Bolivia,06-Jun-1964,Douglas SC-47D (DC-3),CP-729,Aerolineas Abaroa,0,La Paz-El Al...,A1
USA,12-Jul-1973,Boeing B-17G,N620L,Aircraft Specialities Corp.,2,"Eureka, NV",A1
USA,23-Apr-1970,DC-9,,North Central Airlines,0,"Pellston, MI",H2
Japan,30-Jul-1971,Boeing 727-281,JA8329,All Nippon,162,near Shizukuishi,A1
Congo (former Zaire),??-MAY-1993,Boeing 707-441,9Q-CMD,Blue Airlines,0,Goma Airport...,A1
USA,??-???-1971,Lockheed L-1049H Super Constellatio,N45515,Unum,0,Kingman Airp...,O1
USA,05-Sep-2001,Lockheed C-130E Hercules,68-10934,USAF,0,"near Laurinburg, NC",A2
Ukraine,16-Jun-1984,Antonov An-2R,CCCP-02528,"Aeroflot, Ukraine",0,Odessa Region,A1
Ecuador,31-Jul-1944,Douglas DC-2-118A,NC14268,Panagra,,"Arajuno, Pas...",A1
Australia,21-Jan-1974,Douglas C-47A (DC-3),PK-GDC,"Trans Nusantara, lsf Garuda",0,Broome Airpo...,A1
Syria,02-Mar-1981,Boeing 720-030B,AP-AZP,PIA,1,"Kabul, Damascus",H2
Greece,05-Feb-1991,Lockheed C-130H Hercules,748,Hellenic AF,63,near Volos-Néa An...,A1
Nigeria,25-Jan-2018,Gulfstream G200,5N-BTF,Nestoil,0,Abuja Intern...,A1
USA,26-Apr-1989,Cessna 208 Caravan I,N9637F,Planemasters,0,near Decatur Airp...,A1
United Kingdom,08-Oct-1952,Avro Shackleton MR.1,VP286,RAF,14,near Tarbat Ness,A1
Russia,22-Apr-1968,Ilyushin Il-18V,CCCP-75526,"Aeroflot, Moscow",5,near Moskva-Domod...,A1
Jordan,13-Sep-1970,Boeing 707-331B,N8715T,TWA,0,Zerqa RAF St...,H1
Russia,05-Jan-1950,Lisunov Li-2,42 red,Soviet AF,19,Sverdlovsk-K...,A1
Vietnam,09-Oct-1947,Amiot AAC.1 (Ju-52),,French AF,15,,C1
Taiwan,20-Jun-1964,Curtiss C-46D,B-908,Civil Air Transport,57,San-Chiao,A1
Myanmar,11-Apr-1944,Douglas Dakota III (DC-3),FL540,RAF,,Aberdeen Air...,A1
Cuba,05-Mar-1968,Douglas C-54A (DC-4),HK-136,Avianca,0,Santiago-Ant...,H2
Laos,13-Mar-1954,Douglas C-47 (DC-3),F-BCYI,Autrex,0,Xieng Khouan...,A1
Greenland,07-Aug-1979,BN-2A Islander,G-AXWG,Harvest Air,0,,A1
United Kingdom,17-Nov-1980,BAe Nimrod MR.2,XV256,RAF,2,near Forres-Kinlo...,A1
Cyprus,date unk.,BN-2A-26 Islander,5B-CHG,Jenair,,Paphos Inter...,U1
Philippines,??-???-1997,Fokker F-27 Friendship 200,10210,Philippine AF,,Lubang Airpo...,A1
Nigeria,24-Feb-1997,Dornier Do 128-6 Turbo Skyservant,NAF-017,Nigerian AF,3,near Kaduna Airpo...,A1
Thailand,30-Jun-1982,Boeing 747-243B,,Alitalia,0,Bangkok-Don ...,H2
New Zealand,04-Jul-1966,Douglas DC-8-52,ZK-NZB,Air New Zealand,2,Auckland Int...,A1
United Kingdom,17-Dec-1943,Lockheed 18 Lodestar,G-AGDE,BOAC,10,"near Leuchars, Sc...",A1
Brazil,10-Oct-2012,Embraer Phenom 100,PR-PNM,PNM Consultoria,0,Porto Alegre...,A2
Myanmar,25-Jan-1946,Douglas Dakota IV (DC-3),KK112,RAF,0,Hmawbi RAF S...,A1
Russia,26-Feb-1966,Antonov An-2,CCCP-79910,"Aeroflot, Far East",3,Mys Nalycheva,A1
USA,23-Feb-1975,BN-2A-20 Islander,N90PB,PBA,0,Provincetown...,A2
Mexico,10-May-1996,DHC-6 Twin Otter 200,XA-SWJ,Aero Servicios Empresariales,17,Santa Maria ...,A1
Tuvalu,,,,,,,
France,25-Sep-1979,Beech 200 Super King Air,G-BGHR,Eagle Aircraft Services,2,near Nantes,A1
Japan,27-Jan-1966,Lockheed EC-121M Super Constellatio,135751,US Navy,0,Atsugi NAS (...,O1
Germany,15-Oct-1958,Douglas C-47A (DC-3),43-15295,USAF,,near Okarben,A1
Vietnam,04-Sep-1966,CV-2B Caribou (DHC-4),63-9759,US Army,0+ 4,Dong Tre,A1
Ethiopia,24-Oct-2016,DHC-8-402Q Dash 8,ET-ANY,Ethiopian Airlines,0,Dire Dawa-Ab...,A1
USA,05-Feb-1954,Douglas C-47D (DC-3),45-895,USAF,10,"near Curry, AK",A1
Russia,26-Aug-1972,Ilyushin Il-18B,CCCP-75663,"Aeroflot, Northern",0,Arkhangelsk ...,A1
USA,15-Nov-1979,Boeing 727,,American Airlines,0,near Washington-D...,C2
India,24-Mar-1944,Curtiss C-46A,41-24717,USAAF,4,near Itanagar,A1
Germany,24-Mar-1945,Douglas C-47A (DC-3),43-30650,USAAF,,near Weeze,C1
USA,17-Jan-1968,Boeing KC-135A,58-0026,USAF,13,"Minot AFB, N...",A1
Nigeria,04-May-2002,BAC One-Eleven 525FT,5N-ESF,EAS Airlines,73+ 30,near Kano-Aminu K...,A1
Bangladesh,23-Oct-1945,Douglas Dakota IV (DC-3),KJ957,RAF,14,near Chiringa,A1
Ukraine,17-Oct-1971,Antonov An-2,CCCP-70908,"Aeroflot, Ukraine",0,near Dnepropetrovsk,A1
Japan,10-Mar-1967,Douglas C-54D (DC-4),42-72561,USAF,,Tachikawa,U1
China,29-Sep-1945,Douglas C-47B (DC-3),43-16422,USAAF,3,near Hsian,A1
Russia,04-Mar-1945,Douglas C-47A (DC-3),CCCP-L915,Aeroflot,5,Mulden,A1
Trinidad and Tobago,17-Nov-1971,Beech 99,,Arawak Airlines,0,Trinidad,H2
Egypt,13-Dec-1988,Boeing 707-351C,5N-AYJ,GAS Air Nigeria,8+ 1,Karm `Umran,A1
USA,23-Jul-1944,Douglas C-47A (DC-3),43-15962,USAAF,,Dayton-Wrigh...,A1
Mexico,09-Dec-2012,Learjet 25,N345MC,Starwood Management,7,near Iturbide,A1
Lebanon,08-Jan-1987,Boeing 707-323C,OD-AHB,MEA,0,Beirut Inter...,C1
Japan,14-Mar-1962,Douglas R4D-8 (Super DC-3),12445,US Navy,,Toyanaka,A1
South Korea,13-Jan-1953,Grumman SA-16A Albatross,51-061,USAF,,near Korean coast,A1
Cuba,31-Jan-1969,DC-8,,National Airlines,0,Havana-José ...,H2
Brazil,04-Sep-1964,Vickers 701C Viscount,PP-SRR,VASP,39,near Nova Friburg...,A1
Russia,19-Oct-1979,Antonov An-30B,84,Soviet AF,0,Iturup Island,O1
Canada,04-Aug-2005,DHC-3 Otter,C-FQEI,Air Nootka,0,Louie Lagoon...,A2
Greece,29-Apr-1949,Douglas DC-3,,TARS,0,Thessaloniki...,H2
Australia,16-Jan-1999,BN-2A-26 Islander,VH-XFF,Uzu Air,3,near Coconut Isla...,A1
Italy,30-Oct-1972,Fokker F-27 Friendship 200,I-ATIR,ATI,27,near Poggiorsini,A1
USA,08-Dec-1945,Douglas C-47B (DC-3),45-922,"USAAF, op.for Northwest Airlines",19,near Billings Mun...,A1
Netherlands,18-Sep-1944,Douglas C-47A (DC-3),42-24206,USAAF,,near Groesbeek,A1
Central African Republic,27-Apr-1961,Curtiss C-46F,F-BESN,Air Cameroun,0,near Bangui Airpo...,A1
Syria,07-Apr-1963,Douglas DC-6B,YK-AEB,Syrian Arab Airlines,1,Hamah,A1
United Kingdom,08-May-1989,Handley Page HP-137 Jetstream T.2,XX489,Royal Navy,2,Portland Har...,A1
Belize,30-Jun-2018,BN-2A-26 Islander,V3-HFB,Maya Island Air,0,San Pedro Ai...,A2
Chile,14-Sep-1969,DHC-6 Twin Otter 100,942,Chilean AF,0,Puelo Alto,A1
USA,21-Nov-1943,Douglas C-47A (DC-3),42-32929,USAAF,7,"near Tamaqua, PA",A1
USA,28-Jun-1957,Lockheed L-1049 Super Constellation,N6212C,Eastern Air Lines,0,Miami Intern...,O1
USA,19-Apr-1974,Lockheed L-1011 TriStar 1,N31007,TWA,0,Boston-Logan...,O1
Norway,06-Nov-1944,Junkers Ju-52/3m,7U+IL,German AF,14,"Digerronden,...",A1
Hong Kong,23-Sep-1994,Lockheed L-100-30 Hercules,PK-PLV,"Pelita Air Service, op.for Heavylift Cargo",6,near Hong Kong-Ka...,A1
Russia,29-Nov-1970,Antonov An-2R,CCCP-25611,"Aeroflot, Moscow SPiMVL",0,near Tambov,A1
Japan,26-Aug-1982,Boeing 737-2Q3,JA8444,Southwest Air Lines,0,Ishigaki Air...,A1
Australia,19-Apr-1945,Douglas R4D-5 (DC-3),39067,US Navy,13,Gooseberry H...,A1
Colombia,29-Jan-1953,Curtiss C-46A,HK-605,Lineas Interamericana Aérea,0,near Bogotá-Techo...,A1
Kazakhstan,25-Dec-1949,Lisunov Li-2,CCCP-L4719,"Aeroflot, Uzbekistan",0,near Aktyubinsk A...,A1
Russia,14-Aug-1982,Yakovlev Yak-40,CCCP-98102,MAP Kazan MSZ,4,near Bazarnyye Ma...,A1
Greece,22-Aug-1936,Short S.17 Kent,G-ABFA,Imperial Airways,2,Mirabella Ba...,A1
Philippines,31-Jan-1946,Douglas C-47A (DC-3),42-93585,USAAF,,Lipa-Fernand...,A1
Russia,20-Oct-1973,Tupolev Tu-124V,CCCP-45031,"Aeroflot, Moscow",0,Kazan Airport,A1
China,19-Oct-1944,Curtiss C-46A,42-107299,USAAF,,Hsinching,A1
Portugal,28-Oct-1949,Lockheed L-749-79-46 Constellation,F-BAZN,Air France,48,Redondo Moun...,A1
Congo (former Zaire),21-Jun-2010,DC-9-82 (MD-82),9Q-COQ,Hewa Bora Airways,0,Kinshasa-N'D...,A1
Bahamas,26-Apr-1995,Cessna 550 Citation II,N7RC,Ring Can Corp.,0,Walkers Cay ...,A1
USA,01-Apr-1946,Consolidated PBY-5A Catalina,46612,US Navy,,Port Angeles...,A1
Japan,22-Nov-1946,Douglas C-47B (DC-3),44-77156,USAAF,,"Ohama Beach,...",A1
Vietnam,14-Mar-1966,Grumman HU-16B Albatross,51-071,USAF,2,near Haiphong,C1
Myanmar,10-Jun-2013,Xian MA60,XY-AIP,Myanma Airways,0,Kawthaung Ai...,A2
USA,28-Jul-2006,MD-10-10F,N391FE,FedEx,0,Memphis Inte...,A1
Bangladesh,30-Dec-1949,Douglas C-54A (DC-4),VT-CYK,Bharat Airways,0+ 7,Comilla,A1
Egypt,31-Mar-1988,Douglas DC-8-55F,5N-ARH,Arax Airlines,4,Cairo Intern...,A1
Vietnam,25-Oct-1967,Fairchild C-123K Provider,54-667,USAF,0,Saigon-Tan S...,C1
USA,08-Mar-1955,Fairchild C-119B Flying Boxcar,49-114,USAF,0,Pittsburgh-G...,A1
Saudi Arabia,28-Apr-1977,Learjet 35,JY-AEW,Arab Wings,2,Riyadh Inter...,A1
El Salvador,15-Jul-1969,Douglas R4D-1 (DC-3),101,Salvadorian AF,0,Ilopango,A1
Philippines,26-Dec-1947,Douglas DC-3,PI-C53,Philippine Air Lines,,Manila ?,O1
USA,28-Jun-1997,ATL-98 Carvair,N103,Hondu Carib Cargo,0,"near Venetie, AK",A1
Colombia,25-May-1995,Douglas DC-3C,HK-3213,LACOL Colombia,5,near Miraflores A...,A1
Canada,15-Mar-1951,Canadair C-54GM North Star,17523,RCAF,0,Resolute Air...,A1
USA,18-Nov-1960,Boeing KC-135A,56-3605,USAF,1,Limestone-Lo...,A1
Brazil,03-Jun-1943,Consolidated PBY-5A Catalina,4405,US Navy,,,A1
