Country,date,Air-craft type,registration name/mark,operator,fatilites,location,category
USA,11-Jul-1961,Douglas DC-8-12,N8040U,United Airlines,17+ 1,Denver-Stapl...,A1
Congo (former Zaire),27-May-2003,Antonov An-12BP,9L-LCR,Showa Air,0,Goma Airport...,A1
Sudan,06-Jul-2009,Antonov An-28,ST-TYB,El Dinder Aviation,0,near Sarif-Umra A...,A1
Australia,22-Dec-1973,Lockheed 414-08-10 Hudson IV,VH-AGX,Adastra Airways,0,Horn Island ...,A1
Russia,03-Jan-1964,Antonov An-2,CCCP-23740,"Aeroflot, Yakutsk",2,near Batagay Airport,A1
Brazil,06-Oct-1962,Lockheed VC-60A Lodestar,2003,Brazilian AF,0,São Paulo-Ca...,A1
Angola,31-Jan-1995,Boeing 727-21F,D2-TJB,Angola Air Charter,0,Huambo Airpo...,A1
United Kingdom,31-Jul-1950,Handley Page Hastings C.1,TG583,RAF,0,Dishforth RA...,A1
Malaysia,11-Jun-1964,Vickers Valetta C.1,VW863,RAF,0,Labuan Airpo...,A1
USA,07-Jun-1952,Lockheed P2V-2 Neptune,39359,US Navy,0,near Whidbey Isla...,A1
Finland,05-Oct-1990,Yakovlev Yak-40,,Aeroflot,0,Helsinki-Van...,H2
Colombia,17-Jan-2016,BN-2A-21 Islander,(N90460),Unknown,0,Corral Viejo,C1
United Kingdom,25-May-1979,Vickers 806 Viscount,G-AOYS,British Airways,0,Cardiff-Wale...,A2
Costa Rica,16-Dec-2005,DHC-6 Twin Otter 300,TI-AZQ,Nature Air,0,near Tamarindo Ai...,A1
Sri Lanka,29-Apr-1995,BAe BAe-748-357 Srs. 2B SCD,4R-HVA,"Helitours, op.for Sri Lanka AF",52,near Jaffna-Palal...,C1
United Arab Emirates,12-Mar-2007,Airbus A310-325,S2-ADE,Biman Bangladesh,0,Dubai Airpor...,A1
Iran,13-Jun-1971,Douglas C-47A (DC-3),EP-ADG,Air Taxi Co.,,Shiraz,U1
El Salvador,??-???-1969,Douglas R4D-1 (DC-3),102,Salvadorian AF,,Salvador,U1
Germany,27-Feb-1992,Antonov An-26SM,52+10,German AF,0,Friedrichsha...,A1
India,07-Sep-1965,Douglas C-47 (DC-3),,Indian AF,,Srinagar Air...,C1
Myanmar,14-Jul-1945,Curtiss C-46A,43-47294,USAAF,5,near Thamainggyi,A1
Greenland,08-Oct-1991,Embraer EMB-110P1 Bandeirante,N731A,BAC Charter,0,near Narsarsuaq,A1
Brazil,08-Jan-2015,Bombardier Challenger 300,PR-YOU,Bradesco Leasing S.A. Arrendamento Mercantil,0,São Paulo-Co...,O1
Russia,07-Jan-1960,Ilyushin Il-12,CCCP-01438,"Aeroflot, Northern",0,Leningrad-Sh...,A1
USA,11-Oct-2019,DHC-6 Twin Otter 100,N166DH,Skydive Georgia,0,Cedartown-Po...,A2
Oman,03-Aug-1976,BN-2 Defender,304,Oman AF,1,near Salalah,A1
China,31-Mar-1922,Handley Page O/7,,Chinese Government,14,near Beijing-Nany...,A1
Russia,26-Jun-1950,Consolidated KM-2 (PBN-1 Nomad),CCCP-N488,Polyarnaya Aviatsiya,2,Khimki Reser...,A1
Uganda,26-Sep-2007,Cessna F406 Caravan II,ZS-SSD,Fugro Airborne Surveys,2,Entebbe Airp...,A1
USA,08-Sep-1970,DC-9-32,N3329L,Delta Air Lines,0,Louisville-S...,A2
USA,27-Oct-1944,Consolidated PBY-5 Catalina,8321,US Navy,1,near Julington Cr...,A1
United Kingdom,06-Nov-1946,Douglas C-47A (DC-3),PH-TBO,KLM,0,near Shere,A1
Nigeria,??-JAN-1968,Lockheed L-1049G-82-151 Super Const,5T-TAC,Biafran Government,5,near Port Harcour...,A1
USA,13-Mar-1982,Boeing KC-135A,57-1489,USAF,4,near Phoenix-Luke...,A1
Colombia,18-Nov-2006,Boeing 727-23F,HK-3667X,Aerosucre Colombia,6,near Leticia-Alfr...,A1
Vietnam,06-Sep-1968,Lockheed C-130E Hercules,62-1785,USAF,5,Bao Loc,C1
United Kingdom,07-May-1946,Douglas Dakota III (DC-3),KG741,RAF,0,Desborough R...,A1
United Kingdom,15-Dec-2015,Embraer EMB-145MP (ERJ-145MP),G-CGWV,Eastern Airways,0,Newcastle Ai...,A2
USA,29-Aug-1948,Martin 2-0-2,NC93044,Northwest Airlines,37,"near Winona, WI",A1
